Study_Code,Sample_ID,Sed_Extract_Method,Frozen_Method,Thaw_Date,Thawed_Method,Vial_Break_Method,Precipitate_Description,Filter_Method,Randomized_Method,Subsampling_Method,Acidification_Method,NPOC_Software_Method,NPOC_Dilution_Method,NPOC_Dilution_Factor,NPOC_Dilution_Description,Geochem_Method_QA_QC,C_Sample_Vol_mL,C_DIW_Vol_mL,ICR_Dilution_Method,Acidification_After_Dilution_Method,SPE_NPOC_sample_concentration_mg.per.L.as.C,SPE_sample_volume_mL,Final_Concen_After_SPE_ppm,Methanol_elution_mL,SPE_Method,FTICR_Format_Method,FTICR_Ion_Accumulation_Time
Study Code,Sample Name,Method of extracting sample,Frozen method,Date Thawed,Thawed method,Did the vial break? (method code),Precipitate Description (method code),Filter method,Randomized?,Subsampling approach method,Acidified in lab to pH 2? (method code),NPOC method,Dilution method,NPOC dilution factor for calculating NPOC concentration,Description of why dilution occurred,NPOC QA/QC (method code),C Sample Volume (mL),C DI water Volume (mL) Added to Sample for Dilution,Dilution needed to achieve desired C concentration for FTICR?,re-acidified after dilution? Method,Sample concentration after dilution (mg/L as C) (Target final concentration 1.5 mg/L as C for SPE),Sample Volume (ml),Theoretical Final concentration after SPE (assuming 60% efficiency) (ppm),Methanol elution (ml),SPE Method,FTICR-MS Column Information (method code),FTICR-MS Ion Accumulation Time (IAT) 
WHONDRS_S19S,S19S_0017_Sed_Field_ICR-M,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,4.34,10.66,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0081_Sed_Field_ICR-M,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,2.81,12.19,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0014_Sed_Field_ICR-M,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,1.77,13.23,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0082_Sed_Field_ICR-D,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,1.21,13.79,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0014_Sed_Field_ICR-D,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,1.52,13.48,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0078_Sed_Field_ICR-U,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,3.08,11.92,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0098_Sed_Field_ICR-D,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,0.67,14.33,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0060_Sed_Field_ICR-U,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,3.46,11.54,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0013_Sed_Field_ICR-D,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,1.12,13.88,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0031_Sed_Field_ICR-U,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,3.32,11.68,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0082_Sed_Field_ICR-U,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,0.96,14.04,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0060_Sed_Field_ICR-D,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,1.91,13.09,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0031_Sed_Field_ICR-D,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,3.42,11.58,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0083_Sed_Field_ICR-D,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,2.26,12.74,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
WHONDRS_S19S,S19S_0084_Sed_Field_ICR-M,SEDEXT_001,FRZ_000,3/3/2020,THW_000,VB_000,PRECIP_000,FLTR_000,RAND_000,SBS_003,ACID_004,NPOC_003,NPOCDILU_001,2,NPOCDESC_001,Geochem_QA_001,0.95,14.05,ICRCDILU_001,ACID2_001,1.5,15,9,1.5,SPE_001,ICRFORM_001,0.2
